node_id,x,y,semi_major,semi_minor,angle
1,604,4,6,5,157.5
2,809,84,27,26,0.0
3,1099,126,26,25,157.5
4,897,137,24,22,45.0
5,777,155,16,15,135.0
6,40,299,18,17,157.5
7,7,300,9,8,90.0
8,75,312,22,21,90.0
9,923,481,25,23,90.0
10,1099,483,30,29,90.0
11,900,521,25,23,90.0
12,1087,526,32,29,67.5
13,19,557,22,20,90.0
14,60,559,24,23,112.5
15,420,597,24,23,22.5
16,1033,598,29,28,112.5
17,767,602,13,12,90.0
18,62,608,29,26,112.5
19,64,611,29,28,67.49999999999994
20,771,668,29,28,90.0
21,372,670,48,45,112.5
22,499,678,22,21,90.0
23,891,686,29,27,0.0
24,766,690,26,25,112.5
25,1090,699,26,23,90.0
26,403,700,68,67,0.0
27,417,738,87,84,90.0
28,1026,748,29,27,90.0
29,738,772,26,24,90.0
30,251,778,40,36,67.5
31,487,797,62,61,22.500000000000057
32,268,798,53,48,90.0
33,1023,804,31,29,0.0
34,732,821,33,32,0.0
35,824,828,28,27,157.5
36,774,847,32,25,0.0
37,1074,850,28,27,0.0
38,908,851,28,27,157.5
39,195,862,43,42,0.0
