node_id,x,y,semi_major,semi_minor,angle
1,885,18,21,19,0.0
2,999,18,21,19,0.0
3,1113,107,16,15,90.0
4,172,166,27,24,112.5
5,148,197,30,29,157.5
6,359,265,26,25,90.0
7,370,266,27,26,0.0
8,383,316,31,27,112.5
9,981,316,31,29,0.0
10,369,349,36,30,22.5
11,516,372,47,45,0.0
12,318,374,36,35,67.5
13,683,420,44,41,22.500000000000057
14,401,424,48,45,90.0
15,395,426,40,38,90.0
16,441,428,52,44,0.0
17,299,491,48,45,157.5
18,320,500,43,39,90.0
19,942,508,19,17,157.5
20,582,538,61,59,0.0
21,1116,550,13,12,90.0
22,1007,556,25,23,22.500000000000057
23,950,587,21,17,90.0
24,380,595,97,94,0.0
25,398,595,97,88,0.0
26,451,599,96,90,112.5
27,950,602,18,16,67.5
28,875,602,12,11,157.5
29,1094,628,29,28,0.0
30,875,649,30,29,157.5
31,877,650,31,29,22.500000000000057
32,277,677,55,53,90.0
33,522,698,59,58,90.0
34,988,713,27,26,112.5
35,866,718,24,20,0.0
36,837,726,20,19,157.5
37,904,739,17,16,22.500000000000057
38,225,747,45,43,112.5
39,530,768,60,59,67.5
40,802,787,17,16,90.0
41,983,801,13,11,0.0
42,61,803,19,17,90.0
43,906,811,25,24,135.0
44,183,834,46,45,22.5
45,814,837,29,28,157.5
46,867,839,33,31,157.5
47,77,842,38,37,157.5
48,1101,847,28,27,90.0
49,530,855,53,49,0.0
50,25,855,27,26,90.0
51,206,872,35,32,0.0
52,572,880,25,24,90.0
53,807,895,10,9,0.0
