node_id,x,y,semi_major,semi_minor,angle
1,124,28,31,29,0.0
2,828,54,58,55,0.0
3,877,54,56,55,0.0
4,1110,58,19,18,90.0
5,1089,60,27,22,112.5
6,1017,87,47,41,0.0
7,944,88,46,44,22.500000000000057
8,1049,95,42,40,22.500000000000057
9,1100,158,29,28,90.0
10,193,349,57,53,90.0
11,219,565,59,55,90.0
12,253,573,65,64,22.500000000000057
13,459,663,40,39,67.49999999999994
14,718,697,63,56,90.0
15,931,740,53,51,22.5
16,418,770,40,39,90.0
17,722,781,65,62,0.0
18,263,790,40,38,0.0
19,839,794,65,60,90.0
20,812,794,62,60,0.0
21,320,807,38,35,0.0
22,963,818,33,32,157.5
23,868,857,49,47,0.0
24,906,858,48,46,0.0
25,90,866,41,38,0.0
