node_id,x,y,semi_major,semi_minor,angle
1,955,18,20,19,0.0
2,17,26,19,18,90.0
3,511,56,59,57,0.0
4,675,67,74,68,0.0
5,374,82,35,33,0.0
6,200,88,34,32,22.500000000000057
7,675,95,77,75,22.5
8,109,105,46,45,0.0
9,154,111,45,44,112.5
10,609,112,65,58,157.5
11,37,122,41,38,90.0
12,300,129,32,31,67.5
13,295,185,50,49,45.0
14,40,211,41,36,157.5
15,788,217,55,50,0.0
16,369,225,59,55,0.0
17,412,227,65,64,157.5
18,427,265,71,67,0.0
19,518,266,76,74,157.5
20,112,275,34,28,90.0
21,109,296,35,28,112.5
22,828,305,99,96,112.5
23,1099,307,31,29,90.0
24,118,342,31,29,112.5
25,595,343,92,72,157.5
26,1006,347,75,74,112.5
27,318,351,61,52,22.500000000000057
28,183,367,57,52,157.5
29,202,395,70,69,90.0
30,782,401,74,72,157.5
31,1042,414,39,33,0.0
32,708,414,78,77,90.0
33,708,457,91,84,112.5
34,201,476,72,71,67.49999999999994
35,126,483,24,23,0.0
36,608,490,90,84,112.5
37,653,490,103,81,157.5
38,207,535,75,68,0.0
39,155,558,63,50,157.5
40,607,649,59,58,90.0
41,572,664,83,74,0.0
42,963,666,16,15,135.0
43,569,680,80,74,22.5
44,156,699,84,71,0.0
45,172,699,76,72,0.0
46,71,708,72,66,0.0
47,1106,721,24,22,90.0
48,934,741,18,17,90.0
49,994,828,22,21,112.5
50,897,832,17,16,90.0
51,1084,845,26,25,90.0
52,1008,849,21,19,67.5
53,591,860,48,44,0.0
54,1088,887,18,17,0.0
55,228,889,16,15,0.0
56,410,893,12,11,0.0
