node_id,x,y,semi_major,semi_minor,angle
1,872,10,12,11,0.0
2,11,33,13,12,90.0
3,83,46,31,27,22.500000000000057
4,88,47,30,27,0.0
5,188,63,18,17,0.0
6,1085,85,44,43,90.0
7,1085,133,46,43,90.0
8,162,135,23,22,157.5
9,62,172,48,39,112.5
10,362,173,19,18,90.0
11,16,183,18,17,90.0
12,54,187,42,41,135.0
13,993,191,32,30,0.0
14,843,195,28,27,0.0
15,1002,264,30,29,157.5
16,28,275,25,24,0.0
17,231,341,35,31,112.5
18,299,342,26,25,67.5
19,513,349,18,17,22.5
20,134,350,35,33,0.0
21,1088,355,22,21,90.0
22,432,366,31,28,67.5
23,298,378,21,19,90.0
24,431,397,27,25,90.0
25,559,409,23,20,90.0
26,631,417,24,23,90.0
27,380,444,22,21,157.5
28,448,454,27,26,157.5
29,517,463,26,23,90.0
30,400,463,26,24,22.500000000000057
31,21,483,24,22,90.0
32,524,493,24,23,67.5
33,71,522,26,25,0.0
34,233,548,25,24,90.0
35,444,564,21,19,0.0
36,379,577,43,37,22.500000000000057
37,367,602,46,44,135.0
38,481,606,23,21,0.0
39,505,606,23,22,0.0
40,736,610,19,18,0.0
41,1103,616,27,25,90.0
42,547,629,21,20,0.0
43,987,635,44,41,67.5
44,319,650,24,23,157.5
45,363,652,22,20,90.0
46,298,674,19,18,0.0
47,544,678,17,16,67.49999999999994
48,465,684,21,20,112.5
49,622,687,16,15,112.5
50,565,701,19,18,67.5
51,565,717,17,16,90.0
52,646,718,28,26,90.0
53,988,724,35,32,0.0
54,591,756,23,22,90.0
55,778,779,32,31,22.500000000000057
56,50,833,22,19,90.0
57,633,836,25,24,67.49999999999994
58,610,837,20,19,90.0
59,764,855,27,26,112.5
60,48,865,25,24,90.0
61,703,868,22,21,0.0
62,765,883,22,21,90.0
63,703,884,21,20,0.0
