node_id,x,y,semi_major,semi_minor,angle
1,824,54,56,55,90.0
2,875,54,56,55,0.0
3,936,112,51,49,22.500000000000057
4,812,134,57,56,67.49999999999994
5,1073,143,53,47,157.5
6,708,555,33,31,0.0
7,761,664,66,65,135.0
8,1015,680,64,57,22.5
9,922,694,81,80,135.0
10,887,716,60,59,90.0
11,1082,725,50,46,90.0
12,418,755,35,32,90.0
13,274,757,49,47,90.0
14,330,767,45,41,22.500000000000057
15,742,785,68,67,90.0
16,793,789,66,65,90.0
17,82,854,48,44,67.49999999999994
18,83,858,46,44,67.49999999999994
19,915,872,35,32,0.0
20,842,879,27,25,0.0
21,184,882,23,22,0.0
