node_id,x,y,semi_major,semi_minor,angle
1,743,18,21,19,0.0
2,40,107,44,41,90.0
3,40,110,44,41,90.0
4,743,184,34,31,157.5
5,806,196,39,37,157.5
6,306,202,30,29,157.5
7,726,204,29,28,112.5
8,784,267,31,28,90.0
9,47,377,32,31,67.5
10,19,559,22,20,90.0
11,418,565,26,25,0.0
12,955,577,35,34,0.0
13,616,641,24,22,90.0
14,884,699,35,34,90.0
15,336,717,27,26,90.0
16,169,717,25,23,0.0
17,449,726,41,36,157.5
18,404,729,29,27,0.0
19,455,738,42,41,135.0
20,656,745,41,40,90.0
21,656,781,47,45,112.5
22,167,782,35,32,22.5
23,383,809,32,31,157.5
24,645,809,47,46,135.0
25,191,809,38,34,67.5
26,55,810,35,31,22.500000000000057
27,789,811,22,21,157.5
28,535,814,30,29,135.0
29,273,823,29,28,90.0
30,1067,836,36,33,90.0
31,504,851,47,45,90.0
32,475,851,44,43,90.0
33,499,851,48,46,0.0
34,276,865,33,32,0.0
35,364,865,24,23,90.0
36,648,877,29,27,0.0
37,187,881,25,23,0.0
