node_id,x,y,semi_major,semi_minor,angle
1,532,61,21,20,90.0
2,1078,115,36,34,112.5
3,868,117,19,17,157.5
4,497,152,19,18,67.49999999999994
5,234,155,23,22,0.0
6,956,185,30,28,0.0
7,1090,188,24,23,67.5
8,165,204,17,16,67.49999999999994
9,959,228,28,26,90.0
10,985,231,30,29,112.5
11,66,237,31,30,90.0
12,1048,240,16,15,90.0
13,67,248,31,30,90.0
14,1045,266,19,18,90.0
15,197,269,13,12,0.0
16,988,269,27,25,90.0
17,230,276,22,20,90.0
18,155,297,28,27,90.0
19,531,303,31,29,157.5
20,878,310,22,19,0.0
21,508,313,28,26,157.5
22,221,324,18,17,90.0
23,758,338,24,23,157.5
24,315,376,32,31,0.0
25,983,375,24,22,90.0
26,296,376,35,34,157.5
27,905,376,23,22,90.0
28,275,388,39,36,112.5
29,634,396,20,19,22.5
30,340,396,28,27,22.500000000000057
31,770,408,18,17,0.0
32,988,413,21,19,90.0
33,340,425,23,22,112.5
34,290,437,20,16,112.5
35,377,437,11,10,0.0
36,593,441,19,18,90.0
37,305,446,28,23,22.500000000000057
38,823,453,30,27,90.0
39,664,455,22,21,22.5
40,737,466,20,19,0.0
41,614,475,14,13,90.0
42,688,476,22,19,22.500000000000057
43,767,492,19,18,22.500000000000057
44,279,507,20,19,90.0
45,686,554,23,22,90.0
46,730,556,23,22,0.0
47,258,562,18,17,157.5
48,622,570,10,9,0.0
49,119,570,26,24,67.49999999999994
50,277,581,21,20,90.0
51,667,585,18,17,112.5
52,833,629,32,31,22.5
53,165,632,22,20,90.0
54,742,638,27,24,112.5
55,230,647,12,11,90.0
56,702,678,39,36,0.0
57,702,682,40,38,90.0
58,130,685,18,17,90.0
59,910,703,34,31,67.5
60,94,747,19,18,0.0
61,1079,752,38,33,90.0
62,753,781,27,26,90.0
63,76,792,11,10,90.0
64,652,796,9,8,135.0
65,858,807,37,36,90.0
66,715,822,20,18,157.5
67,355,877,29,27,0.0
68,710,894,11,10,0.0
