node_id,x,y,semi_major,semi_minor,angle
1,44,18,20,19,0.0
2,155,23,25,24,0.0
3,925,24,27,25,0.0
4,803,203,22,21,22.5
5,27,241,26,24,90.0
6,720,314,32,30,157.5
7,53,394,23,22,90.0
8,543,401,26,25,90.0
9,226,456,29,28,90.0
10,226,481,27,26,0.0
11,591,507,22,21,90.0
12,533,541,28,26,67.5
13,201,570,29,27,157.5
14,705,570,32,31,0.0
15,156,620,35,31,90.0
16,336,631,30,29,0.0
17,41,650,27,26,0.0
18,471,668,27,26,0.0
19,39,672,29,28,112.5
20,787,672,21,20,90.0
21,162,673,30,27,90.0
22,542,695,29,27,90.0
23,58,748,17,16,90.0
24,371,765,33,32,112.5
25,506,777,11,10,0.0
26,891,780,31,29,0.0
27,460,794,24,21,0.0
28,590,799,25,23,0.0
29,346,808,32,28,90.0
30,531,810,23,22,22.500000000000057
31,655,832,30,29,157.5
32,226,847,24,22,90.0
33,258,848,23,21,0.0
34,448,856,30,29,157.5
35,846,860,29,28,22.5
36,69,865,29,26,0.0
37,459,865,28,27,157.5
38,508,866,27,22,90.0
39,30,883,22,21,0.0
40,340,887,17,16,157.5
