node_id,x,y,semi_major,semi_minor,angle
1,63,40,41,36,0.0
2,1089,57,39,38,0.0
3,1086,145,39,38,22.5
4,110,149,24,23,90.0
5,1001,195,30,29,0.0
6,45,206,39,38,90.0
7,43,226,42,41,90.0
8,530,274,30,28,112.5
9,385,306,30,28,22.5
10,504,328,40,36,90.0
11,462,331,38,37,157.5
12,243,338,35,34,90.0
13,143,346,36,35,67.49999999999994
14,824,345,24,23,157.5
15,73,346,35,33,90.0
16,1077,370,24,22,0.0
17,676,383,22,20,0.0
18,542,403,27,25,90.0
19,618,409,25,24,157.5
20,517,453,23,20,90.0
21,292,482,16,15,22.5
22,529,521,26,25,112.5
23,220,539,44,37,90.0
24,864,563,32,31,90.0
25,506,587,29,28,0.0
26,484,587,29,27,0.0
27,674,600,50,49,0.0
28,664,616,52,51,112.5
29,1093,628,31,30,90.0
30,463,658,21,19,90.0
31,385,660,18,17,67.5
32,1007,659,35,34,90.0
33,680,686,27,24,90.0
34,165,689,30,27,157.5
35,144,702,33,28,157.5
36,279,707,19,18,22.5
37,620,726,31,30,90.0
38,532,774,16,15,67.5
39,805,790,25,24,67.5
40,47,816,27,26,157.5
41,166,831,19,18,0.0
42,106,848,18,16,90.0
43,581,865,15,14,90.0
44,50,873,25,24,0.0
45,72,874,24,23,0.0
