node_id,x,y,semi_major,semi_minor,angle
1,755,10,12,11,90.0
2,757,75,11,10,0.0
3,811,84,27,26,0.0
4,1068,129,23,22,90.0
5,1095,129,28,27,157.5
6,891,131,27,26,22.5
7,895,135,25,24,45.0
8,27,292,18,17,22.5
9,70,313,22,21,157.5
10,77,425,22,21,157.5
11,1056,498,20,19,67.49999999999994
12,894,521,22,21,90.0
13,1086,527,30,29,67.5
14,96,540,12,11,0.0
15,19,548,22,20,90.0
16,60,555,18,17,0.0
17,1026,593,30,29,112.5
18,64,608,25,23,112.5
19,8,617,10,9,90.0
20,185,620,12,11,0.0
21,50,621,19,18,45.0
22,784,652,35,31,112.5
23,767,681,29,27,112.5
24,889,690,32,31,157.5
25,1091,697,25,24,90.0
26,275,709,22,21,90.0
27,411,721,102,94,0.0
28,415,726,95,94,0.0
29,442,726,93,92,67.49999999999994
30,1024,748,27,26,90.0
31,779,760,18,17,0.0
32,248,767,40,39,45.0
33,483,775,79,75,67.49999999999994
34,269,790,56,51,90.0
35,699,802,24,21,0.0
36,1020,804,31,28,0.0
37,727,812,35,33,90.0
38,823,829,25,24,157.5
39,777,848,27,24,0.0
40,1075,851,29,28,0.0
41,907,853,30,28,157.5
42,199,859,46,45,0.0
43,772,878,23,22,90.0
44,76,881,23,22,90.0
