node_id,x,y,semi_major,semi_minor,angle
1,798,34,30,29,0.0
2,740,35,37,36,0.0
3,321,52,57,53,0.0
4,206,53,58,54,0.0
5,348,54,59,55,0.0
6,146,67,74,68,0.0
7,833,134,42,41,135.0
8,817,156,52,50,90.0
9,892,255,79,62,0.0
10,872,258,71,69,22.500000000000057
11,1022,260,56,55,0.0
12,48,359,53,49,90.0
13,969,469,81,76,22.5
14,1069,479,64,59,90.0
15,1021,479,86,76,22.500000000000057
16,801,522,71,67,90.0
17,1040,779,15,14,90.0
18,989,782,14,13,67.5
19,610,797,43,38,90.0
20,1045,811,14,13,0.0
21,985,826,16,15,22.5
22,1086,828,30,29,67.5
23,999,830,15,14,0.0
24,659,866,41,38,0.0
25,198,875,30,29,90.0
26,1075,879,24,23,67.49999999999994
