node_id,x,y,semi_major,semi_minor,angle
1,216,4,6,5,67.5
2,837,17,19,18,0.0
3,414,36,17,16,0.0
4,801,84,31,30,157.5
5,1026,104,22,21,157.5
6,1108,123,20,17,67.5
7,796,139,22,21,157.5
8,896,138,22,21,135.0
9,949,151,16,15,112.5
10,1110,195,8,7,45.0
11,114,413,22,19,22.5
12,1023,457,18,17,67.5
13,1114,469,15,14,90.0
14,1092,470,17,16,22.500000000000057
15,150,471,17,16,90.0
16,933,485,34,29,90.0
17,1091,533,25,24,90.0
18,64,569,23,21,90.0
19,64,584,23,22,90.0
20,762,597,13,12,112.5
21,61,605,27,21,90.0
22,1046,605,27,25,112.5
23,948,608,24,23,22.500000000000057
24,63,613,24,19,67.49999999999994
25,96,613,14,13,22.5
26,767,652,10,9,90.0
27,783,677,18,17,112.5
28,908,683,28,27,157.5
29,383,697,54,53,22.500000000000057
30,1091,701,25,24,90.0
31,764,708,23,22,90.0
32,1031,747,31,28,90.0
33,405,753,85,83,22.500000000000057
34,728,756,16,15,112.5
35,404,757,85,81,0.0
36,765,788,41,38,90.0
37,768,801,45,44,112.5
38,1025,805,32,31,0.0
39,485,814,69,65,22.500000000000057
40,267,816,51,50,90.0
41,749,825,37,36,22.5
42,818,826,32,31,157.5
43,911,850,27,26,157.5
44,1074,852,28,27,22.500000000000057
