node_id,x,y,semi_major,semi_minor,angle
1,728,10,12,11,0.0
2,956,15,17,16,0.0
3,18,26,21,19,90.0
4,667,26,28,27,0.0
5,730,59,16,15,67.49999999999994
6,500,65,66,63,0.0
7,366,88,28,27,22.500000000000057
8,665,90,61,50,90.0
9,197,91,26,25,157.5
10,431,98,49,46,157.5
11,106,107,46,44,22.5
12,37,115,41,38,90.0
13,150,116,42,41,112.5
14,653,117,68,57,0.0
15,608,118,63,61,157.5
16,593,144,53,49,67.5
17,282,192,54,46,157.5
18,562,227,43,42,67.49999999999994
19,379,258,100,93,0.0
20,379,264,99,98,90.0
21,527,281,91,80,157.5
22,23,286,25,24,90.0
23,834,316,94,85,112.5
24,153,324,56,55,22.5
25,1006,350,75,73,90.0
26,214,377,74,69,22.500000000000057
27,253,377,86,66,0.0
28,786,400,72,71,112.5
29,628,443,124,103,90.0
30,621,470,105,104,90.0
31,221,508,73,71,90.0
32,217,526,81,76,90.0
33,217,534,78,75,112.5
34,151,574,62,57,157.5
35,1066,629,11,10,0.0
36,595,651,63,60,90.0
37,573,663,80,74,0.0
38,570,680,82,81,112.5
39,176,690,69,68,112.5
40,176,703,68,67,90.0
41,931,718,17,16,90.0
42,1107,722,23,21,90.0
43,55,734,57,56,90.0
44,933,742,18,17,90.0
45,995,824,21,20,90.0
46,899,835,14,13,90.0
47,1085,844,27,26,112.5
48,1013,848,22,21,67.5
49,592,859,49,45,0.0
50,1090,887,18,17,0.0
51,223,888,17,16,0.0
52,1006,888,17,16,0.0
