node_id,x,y,semi_major,semi_minor,angle
1,546,20,23,21,0.0
2,116,25,27,26,0.0
3,1062,36,40,37,0.0
4,903,39,41,40,22.5
5,1103,49,27,25,90.0
6,101,132,57,55,157.5
7,575,224,41,40,90.0
8,710,242,58,51,157.5
9,193,344,59,58,157.5
10,189,610,70,63,0.0
11,222,616,75,62,22.5
12,457,699,43,42,22.500000000000057
13,655,704,52,48,90.0
14,439,787,34,33,90.0
15,148,800,62,57,112.5
16,195,813,83,64,0.0
17,1010,815,49,48,112.5
18,174,816,77,69,0.0
19,879,843,66,61,0.0
20,1007,856,52,48,0.0
21,297,859,49,45,0.0
22,47,879,27,25,0.0
