node_id,x,y,semi_major,semi_minor,angle
1,993,17,19,18,0.0
2,9,20,11,10,90.0
3,1107,50,21,20,0.0
4,43,92,48,44,90.0
5,990,93,18,17,112.5
6,48,103,53,49,90.0
7,50,136,52,51,90.0
8,177,173,62,61,157.5
9,179,174,64,63,22.500000000000057
10,369,200,33,32,90.0
11,370,205,32,30,90.0
12,487,217,32,27,0.0
13,474,225,39,38,0.0
14,403,274,51,46,0.0
15,398,279,54,52,22.500000000000057
16,961,308,46,44,90.0
17,945,313,49,48,0.0
18,319,339,101,97,67.5
19,340,346,97,96,0.0
20,715,372,52,51,0.0
21,619,388,96,90,0.0
22,571,388,91,90,0.0
23,515,468,128,127,157.5
24,367,486,137,136,0.0
25,427,486,145,136,0.0
26,609,543,37,35,112.5
27,1056,594,25,24,112.5
28,630,612,29,28,112.5
29,1001,637,36,34,67.5
30,856,640,21,20,112.5
31,541,680,62,59,22.500000000000057
32,974,712,28,27,90.0
33,924,715,24,23,90.0
34,863,719,30,28,90.0
35,856,751,31,27,112.5
36,545,776,59,57,90.0
37,177,786,48,45,112.5
38,872,801,21,19,90.0
39,543,824,60,59,112.5
40,1103,833,27,25,90.0
41,1045,842,18,17,0.0
42,851,850,20,19,90.0
43,855,884,21,20,0.0
44,1041,889,16,15,0.0
