node_id,x,y,semi_major,semi_minor,angle
1,878,12,14,13,0.0
2,23,29,23,22,22.5
3,82,34,27,26,112.5
4,72,56,28,27,112.5
5,56,56,27,25,0.0
6,187,60,18,17,0.0
7,1086,72,42,41,0.0
8,166,132,23,21,157.5
9,1086,132,43,42,90.0
10,362,161,18,17,90.0
11,56,165,52,48,67.5
12,999,197,35,30,0.0
13,841,199,25,23,0.0
14,1006,269,34,33,67.5
15,36,273,28,27,112.5
16,380,321,27,23,22.5
17,829,339,19,18,0.0
18,233,343,33,32,157.5
19,283,344,29,28,0.0
20,515,347,22,21,90.0
21,80,349,38,37,90.0
22,135,349,37,35,0.0
23,433,352,39,35,67.5
24,1085,366,25,24,22.5
25,429,393,27,26,90.0
26,554,409,26,23,90.0
27,628,415,30,27,112.5
28,451,453,25,24,157.5
29,515,460,26,22,90.0
30,226,546,27,26,90.0
31,387,563,24,23,0.0
32,862,564,33,32,22.5
33,399,566,27,24,0.0
34,598,587,19,17,0.0
35,504,597,24,23,0.0
36,479,597,25,22,90.0
37,635,598,20,19,22.500000000000057
38,351,607,29,25,22.5
39,371,612,35,34,135.0
40,553,619,20,19,157.5
41,1101,619,29,27,90.0
42,995,640,42,41,67.5
43,377,672,12,11,90.0
44,552,674,19,17,22.5
45,462,677,19,18,67.5
46,173,696,13,12,157.5
47,994,717,40,39,0.0
48,142,718,24,23,0.0
49,622,722,43,40,90.0
50,628,723,42,41,0.0
51,736,752,24,23,90.0
52,311,753,13,12,90.0
53,790,782,27,26,22.500000000000057
54,46,825,21,18,67.5
55,165,835,16,15,90.0
56,634,841,21,19,67.49999999999994
57,663,870,26,25,0.0
58,755,873,32,31,0.0
59,83,882,15,14,22.5
60,515,898,7,6,157.5
