node_id,x,y,semi_major,semi_minor,angle
1,1070,31,13,12,157.5
2,1122,82,7,6,90.0
3,485,98,70,61,157.5
4,37,100,41,38,90.0
5,86,100,43,42,22.5
6,419,125,59,58,157.5
7,125,139,47,44,67.5
8,594,145,74,71,0.0
9,266,148,44,42,0.0
10,595,157,81,75,67.5
11,27,198,30,28,90.0
12,69,202,27,25,0.0
13,225,226,94,91,157.5
14,213,226,97,85,0.0
15,188,251,67,65,22.5
16,333,288,136,127,0.0
17,837,289,61,57,90.0
18,306,291,177,164,67.49999999999994
19,1028,323,61,59,22.5
20,845,328,74,69,0.0
21,898,332,69,67,22.500000000000057
22,138,337,22,21,0.0
23,550,340,105,100,90.0
24,277,360,114,106,67.5
25,564,388,101,95,67.5
26,748,392,61,49,90.0
27,1046,407,38,37,0.0
28,748,439,51,49,67.49999999999994
29,594,461,120,109,67.5
30,596,489,111,106,90.0
31,608,494,126,117,90.0
32,245,496,82,80,112.5
33,244,523,78,77,90.0
34,170,566,42,40,157.5
35,642,574,63,58,90.0
36,166,631,43,41,90.0
37,584,659,64,63,90.0
38,185,660,54,53,67.5
39,571,663,78,76,112.5
40,184,712,52,50,90.0
41,900,719,22,21,0.0
42,918,719,23,22,0.0
43,40,761,44,41,90.0
44,840,797,21,20,112.5
45,1089,840,29,28,90.0
46,1023,851,24,22,90.0
47,582,862,43,42,90.0
48,1020,885,20,19,90.0
49,214,886,19,18,0.0
50,1096,889,16,15,0.0
51,923,890,15,14,0.0
52,846,894,11,10,0.0
