node_id,x,y,semi_major,semi_minor,angle
1,967,15,17,16,0.0
2,798,72,15,14,157.5
3,808,187,23,21,0.0
4,251,199,30,28,0.0
5,901,200,29,28,90.0
6,932,256,36,32,90.0
7,331,262,27,26,0.0
8,902,349,30,29,90.0
9,798,356,18,17,67.5
10,513,370,24,23,157.5
11,352,391,25,24,157.5
12,438,429,36,35,90.0
13,781,431,24,23,0.0
14,374,469,27,24,0.0
15,657,489,34,32,0.0
16,679,489,34,33,0.0
17,1051,505,30,28,112.5
18,695,560,31,30,157.5
19,24,578,27,25,90.0
20,365,644,32,31,135.0
21,489,647,40,38,157.5
22,480,649,40,38,157.5
23,294,651,29,28,0.0
24,338,660,34,31,157.5
25,579,745,35,33,22.5
26,472,753,20,19,157.5
27,178,798,38,37,45.0
28,695,801,23,21,0.0
29,899,803,30,28,0.0
30,648,812,23,21,0.0
31,201,825,37,35,67.5
32,55,845,26,25,67.5
33,1065,855,36,35,67.49999999999994
34,303,859,25,24,0.0
35,753,864,34,33,0.0
36,377,880,26,24,0.0
37,194,882,24,22,0.0
38,633,888,17,16,0.0
39,47,896,9,8,0.0
