node_id,x,y,semi_major,semi_minor,angle
1,196,144,25,24,45.0
2,805,185,23,20,0.0
3,901,206,30,28,67.49999999999994
4,930,257,38,36,90.0
5,328,264,27,26,0.0
6,901,353,29,27,90.0
7,799,363,22,21,67.5
8,514,373,23,22,157.5
9,42,383,26,25,90.0
10,436,437,42,40,0.0
11,439,437,41,40,90.0
12,635,493,33,32,22.5
13,665,495,37,31,0.0
14,1052,502,29,28,112.5
15,548,514,26,25,0.0
16,24,581,27,25,90.0
17,368,646,31,29,157.5
18,291,649,27,26,0.0
19,491,650,38,35,157.5
20,478,651,39,34,157.5
21,5,686,7,6,67.5
22,155,692,35,34,22.5
23,569,747,33,32,22.5
24,181,801,38,35,22.5
25,693,804,25,22,0.0
26,897,806,30,29,0.0
27,204,827,37,33,67.5
28,56,847,24,23,22.500000000000057
29,1063,856,35,34,67.49999999999994
30,296,858,24,23,157.5
31,829,866,36,35,90.0
32,742,868,29,28,0.0
33,376,881,25,23,0.0
34,191,884,21,20,0.0
35,629,889,16,15,0.0
36,432,892,13,12,0.0
