node_id,x,y,semi_major,semi_minor,angle
1,881,13,15,14,0.0
2,26,26,26,24,90.0
3,78,34,30,26,112.5
4,68,54,29,27,0.0
5,55,54,30,29,67.5
6,186,58,17,16,157.5
7,1086,66,42,41,0.0
8,167,131,22,21,157.5
9,1087,134,42,41,90.0
10,361,160,18,17,90.0
11,57,163,49,46,0.0
12,1001,198,35,30,0.0
13,839,203,25,24,0.0
14,38,270,31,30,112.5
15,1008,272,34,32,157.5
16,383,314,31,27,22.5
17,505,334,35,32,90.0
18,439,337,36,32,0.0
19,233,342,34,32,0.0
20,826,341,21,18,0.0
21,139,347,38,37,0.0
22,77,348,36,34,90.0
23,1081,368,25,24,0.0
24,429,392,25,24,90.0
25,551,407,27,25,90.0
26,626,413,29,28,112.5
27,454,453,22,21,157.5
28,515,457,26,22,90.0
29,526,517,23,21,90.0
30,225,545,29,28,67.5
31,412,561,26,25,157.5
32,859,562,31,29,90.0
33,600,590,18,16,0.0
34,504,593,26,25,0.0
35,480,593,26,25,90.0
36,635,594,21,19,0.0
37,557,613,21,20,0.0
38,1101,621,29,27,90.0
39,373,622,23,22,22.500000000000057
40,998,646,40,38,67.5
41,461,662,18,17,90.0
42,557,665,17,16,90.0
43,380,670,15,14,90.0
44,462,675,19,18,67.5
45,518,687,14,13,0.0
46,677,693,22,20,157.5
47,170,694,22,18,157.5
48,142,711,25,23,0.0
49,615,729,35,30,90.0
50,639,729,31,30,0.0
51,741,750,19,18,90.0
52,309,753,16,15,90.0
53,533,778,12,11,90.0
54,569,783,17,15,157.5
55,796,785,26,25,135.0
56,44,819,23,22,45.0
57,164,833,18,17,90.0
58,630,841,17,16,90.0
59,595,841,18,17,112.5
60,574,855,15,14,157.5
61,44,872,18,16,0.0
62,754,875,31,29,0.0
63,662,878,27,26,0.0
64,81,880,18,17,112.5
