node_id,x,y,semi_major,semi_minor,angle
1,827,55,58,56,0.0
2,878,55,57,56,0.0
3,971,95,44,42,0.0
4,937,96,49,47,22.500000000000057
5,814,114,61,54,90.0
6,1059,114,39,38,90.0
7,196,350,63,56,90.0
8,255,565,65,62,22.500000000000057
9,946,704,48,45,0.0
10,729,713,63,60,90.0
11,928,732,56,55,22.5
12,418,765,39,37,90.0
13,269,780,44,41,0.0
14,732,784,67,62,0.0
15,321,794,40,36,0.0
16,818,798,68,67,0.0
17,823,798,69,68,0.0
18,959,819,27,26,157.5
19,88,857,45,42,67.49999999999994
20,907,860,44,43,90.0
21,862,860,48,44,0.0
22,182,881,24,23,0.0
