node_id,x,y,semi_major,semi_minor,angle
1,173,16,10,9,90.0
2,540,63,19,18,90.0
3,203,77,12,11,0.0
4,868,113,22,21,157.5
5,342,113,15,14,112.5
6,1059,119,42,38,90.0
7,1062,119,42,41,90.0
8,505,160,18,17,90.0
9,1001,182,21,20,90.0
10,1090,185,23,21,90.0
11,947,190,30,29,90.0
12,1006,219,20,17,112.5
13,1046,228,14,12,0.0
14,953,233,24,21,90.0
15,987,240,25,24,0.0
16,58,248,29,22,0.0
17,141,285,20,19,157.5
18,167,285,19,17,0.0
19,222,286,21,20,90.0
20,560,320,21,19,0.0
21,172,327,19,17,157.5
22,856,332,17,16,90.0
23,495,332,20,18,67.5
24,897,332,22,21,90.0
25,125,334,24,23,22.500000000000057
26,753,340,20,18,157.5
27,99,341,25,24,0.0
28,283,347,12,11,0.0
29,1003,355,23,22,135.0
30,330,365,19,18,157.5
31,903,368,16,15,90.0
32,992,377,31,23,90.0
33,236,390,19,18,67.49999999999994
34,96,399,26,25,157.5
35,994,404,26,24,90.0
36,761,406,18,15,157.5
37,874,416,23,22,90.0
38,814,419,28,27,157.5
39,178,424,24,23,90.0
40,300,425,16,15,0.0
41,268,430,22,21,112.5
42,1113,433,16,15,90.0
43,12,447,14,13,90.0
44,973,463,18,17,112.5
45,670,464,19,18,112.5
46,736,464,23,22,22.5
47,814,466,27,25,0.0
48,187,467,19,18,67.5
49,759,486,25,22,22.500000000000057
50,175,502,15,14,112.5
51,647,527,12,11,22.5
52,671,550,16,15,67.5
53,870,553,18,17,0.0
54,717,556,16,15,157.5
55,253,561,17,16,0.0
56,132,571,23,22,90.0
57,723,601,22,20,112.5
58,665,606,19,18,67.5
59,171,613,24,23,0.0
60,827,642,26,25,112.5
61,732,643,27,26,0.0
62,667,658,20,19,157.5
63,114,697,21,20,90.0
64,910,698,29,28,157.5
65,114,712,22,20,0.0
66,719,715,20,18,67.49999999999994
67,80,746,18,17,112.5
68,1072,755,41,35,90.0
69,750,794,34,32,112.5
70,865,822,28,27,90.0
71,704,827,22,21,157.5
72,355,871,36,33,0.0
73,239,882,24,22,0.0
