node_id,x,y,semi_major,semi_minor,angle
1,31,27,29,28,90.0
2,139,28,30,29,90.0
3,432,28,30,29,90.0
4,176,117,31,30,112.5
5,161,146,29,25,112.5
6,553,171,32,31,0.0
7,467,203,30,29,0.0
8,1000,213,32,30,90.0
9,1081,219,28,27,112.5
10,96,225,29,28,157.5
11,166,226,31,30,157.5
12,46,241,40,31,22.500000000000057
13,597,249,31,28,67.5
14,835,304,27,26,0.0
15,610,360,27,26,157.5
16,57,397,20,19,90.0
17,546,410,28,27,90.0
18,219,463,29,28,90.0
19,431,502,27,25,0.0
20,557,609,31,29,67.49999999999994
21,471,622,25,24,135.0
22,157,630,25,23,90.0
23,353,632,38,37,22.5
24,389,645,39,38,90.0
25,569,661,26,24,0.0
26,394,672,38,35,157.5
27,448,694,36,33,0.0
28,178,699,27,26,0.0
29,246,707,31,30,90.0
30,452,710,50,38,0.0
31,496,726,47,39,22.500000000000057
32,645,737,36,35,112.5
33,648,737,35,34,22.500000000000057
34,405,741,37,36,67.5
35,251,750,31,29,90.0
36,496,760,39,37,90.0
37,405,768,35,32,0.0
38,453,786,25,23,0.0
39,866,791,30,29,67.5
40,306,801,28,27,90.0
41,553,810,43,37,0.0
42,534,810,40,37,90.0
43,44,811,30,28,112.5
44,568,830,39,38,157.5
45,627,834,37,36,90.0
46,628,847,38,37,67.49999999999994
47,208,849,23,22,22.5
48,843,855,29,28,112.5
49,280,868,18,17,22.5
