node_id,x,y,radius
1,101,10,13.416407864998739
2,112,38,8.0
3,1094,43,33.015148038438355
4,10,61,11.180339887498949
5,88,90,11.180339887498949
6,1096,122,31.78049716414141
7,1000,184,24.0
8,51,229,41.10960958218893
9,542,273,31.304951684997057
10,195,279,23.769728648009426
11,392,290,33.24154027718932
12,295,304,23.0
13,67,340,29.0
14,142,340,28.0
15,517,349,21.540659228538015
16,829,351,24.0
17,774,373,32.0624390837628
18,535,398,25.079872407968907
19,774,402,33.0
20,523,440,19.4164878389476
21,790,476,19.0
22,585,513,21.0
23,232,520,58.0
24,237,520,58.077534382926416
25,424,520,25.495097567963924
26,255,531,47.042533945356304
27,873,561,27.073972741361768
28,503,562,38.0
29,670,562,36.0
30,495,562,38.3275357934736
31,639,627,21.37755832643195
32,589,631,20.0
33,464,640,18.0
34,1079,644,27.51363298439521
35,395,653,23.194827009486403
36,476,675,16.0
37,393,681,20.024984394500787
38,668,683,19.235384061671343
39,157,687,40.0
40,150,689,37.0
41,585,691,19.0
42,523,702,19.924858845171276
43,446,714,13.152946437965905
44,641,720,33.0
45,365,723,16.0
46,515,740,12.041594578792296
47,631,762,28.635642126552707
48,535,769,16.0312195418814
49,828,794,22.47220505424423
50,320,815,11.40175425099138
51,272,826,12.649110640673518
52,184,829,15.524174696260024
53,66,839,43.18564576337837
54,633,868,31.76476034853718
55,621,879,29.698484809834994
56,764,882,22.80350850198276
